Month,AvgTemp
2020-01,3.5
2020-02,4.89
2020-03,9.71
2020-04,14.62
2020-05,16.89
2020-06,20.93
2020-07,25.77
2020-08,23.99
2020-09,17.79
2020-10,13.83
2020-11,7.86
2020-12,3.89
2021-01,3.62
2021-02,3.5
2021-03,7.72
2021-04,12.92
2021-05,16.5
2021-06,21.86
2021-07,23.67
2021-08,22.19
2021-09,20.1
2021-10,13.44
2021-11,8.77
2021-12,3.31
2022-01,3.22
2022-02,5.91
2022-03,8.68
2022-04,14.24
2022-05,17.29
2022-06,21.63
2022-07,24.36
2022-08,25.84
2022-09,19.01
2022-10,13.0
2022-11,9.91
2022-12,3.9
2023-01,4.36
2023-02,4.22
2023-03,8.88
2023-04,14.44
2023-05,19.02
2023-06,22.48
2023-07,25.22
2023-08,24.07
2023-09,17.93
2023-10,13.72
2023-11,9.01
2023-12,6.56
